Chemicalformula,Synonyms,CAS_Number
NdS,neodymium(II)sulfide,12035-22-2
NdSe,neodymium(II)selenide,12035-24-4
NdTe,neodymium(II)telluride,12060-53-6
NdVO4,neodymium(III)vanadate,13721-46-5
Nd2O3,neodymium(III)oxide,1313-97-9
Nd2S3,neodymium(III)sulfide,12035-32-4
Nd2Te3,neodymium(III)telluride,12035-35-7
NiAs,nickel(II)arsenide,27016-75-7
Ni(BF4)2,nickel(II)fluoroborate,14708-14-6
NiBr2,nickel(II)bromide,13462-88-9
Ni(CN)2,nickel(II)cyanide,557-19-7
NiCO3,nickel(II)carbonate,3333-67-3
Ni(CO)4,nickel(II)carbonyl,13463-39-3
Ni(C2H3O2)2,nickel(II)acetate,373-02-4
NiCl2,nickel(II)chloride,7718-54-9
NiCl2-6H2O,nickel(II)chloridehexahydrate,7791-20-0
NiCrO4,nickel(II)chromate,14721-18-7
NiF2,nickel(II)fluoride,10028-18-9
NiI2,nickel(II)iodide,13462-90-3
Ni(NO3)2,nickel(II)nitrate,13138-45-9
NiO,nickel(II)oxide,1313-99-1
Ni(OH)2,nickel(II)hydroxide,12054-48-7
NiS,nickel(II)sulfide,16812-54-7
NiSO4,nickel(II)sulfate,7786-81-4
NiSb,nickel(II)antimonide,12035-52-8
NiSe,nickel(II)selenide,1314-05-2
NiSnO3,nickel(II)stannate,12035-38-0
NiTe,nickel(II)telluride,12142-88-0
NiTiO3,nickel(II)titanate,12035-39-1
NiWO4,nickel(II)tungstate,14177-51-6
NiZrO3,nickel(II)zirconate,70692-93-2
Ni2B,nickel(III)boride,12007-01-1
Ni2O3,nickel(III)oxide,1314-06-3
Ni3B,nickel(II)boride,12007-02-2
Ni3S2,nickel(III)sulfide,12035-72-2
NpBr3,neptunium(III)bromide,20730-39-6
NpBr4,neptunium(IV)bromide,15608-32-9
NpCl3,neptunium(III)chloride,20737-06-8
NpCl4,neptunium(IV)chloride,15597-84-9
NpF3,neptunium(III)fluoride,16852-37-2
NpF4,neptunium(IV)fluoride,14529-88-5
NpF5,neptunium(V)fluoride,31479-18-2
NpF6,neptunium(VI)fluoride,14521-05-2
NpI3,neptunium(III)iodide,37501-52-3
NpN,neptunium(III)nitride,12058-90-1
NpO,neptunium(II)oxide,12202-03-8
NpO2,neptunium(IV)oxide,12035-79-9
Np2O5,neptunium(V)oxide,121433-01-0
Np2S3,neptunium(III)sulfide,12281-24-2
OF2,oxygen(II)fluoride,7783-41-7
O2F2,oxygen(I)fluoride,7783-44-0
OsBr3,osmium(III)bromide,59201-51-3
OsBr4,osmium(IV)bromide,59201-52-4
Os(C5H5)2,osmium(II)cyclopentadienide,1273-81-0
OsCl3,osmium(III)chloride,13444-93-4
OsCl3-3H2O,osmium(III)chloridetrihydrate,114268-63-2
OsCl4,osmium(IV)chloride,10026-01-4
OsCl5,osmium(V)chloride,71328-74-0
OsF4,osmium(IV)fluoride,54120-05-7
(OsF5)4,osmium(V)fluoride,31576-40-6
OsF6,osmium(VI)fluoride,13768-38-2
OsF7,osmium(VII)fluoride,16949-69-2
OsF8,osmium(VIII)fluoride,18432-81-0
OsI,osmium(I)iodide,76758-38-8
OsI2,osmium(II)iodide,59201-57-9
OsI3,osmium(III)iodide,59201-58-0
OsO2,osmium(IV)oxide,12036-02-1
OsO4,osmium(VIII)oxide,20816-12-0
OsS2,osmium(IV)sulfide,12137-61-0
OsSe2,osmium(IV)selenide,12310-19-9
OsTe2,osmium(IV)telluride,12166-21-1
PBr3,phosphorustribromide,7789-60-8
PBr5,phosphoruspentabromide,7789-69-7
PCl3,phosphorustrichloride,7719-12-2
PCl5,phosphoruspentachloride,10026-13-8
PF3,phosphorustrifluoride,7783-55-3
PF5,phosphoruspentafluoride,7647-19-0
PH3,phosphorustrihydride,7803-51-2
PI3,phosphorustriiodide,13455-01-1
POBr3,phosphorusoxybromide,7789-59-5
POCl3,phosphorusoxychloride,10025-87-3
PSCl3,phosphorusthiochloride,3982-91-0
P2Br4,phosphorustetrabromide,24856-99-3
P2Cl4,phosphorustetrachloride,13497-91-1
P2F4,phosphorustetrafluoride,13824-74-3
P2H4,phosphorustetrahydride,13445-50-6
P2I4,phosphorustetraiodide,13455-00-0
P2O5,phosphoruspentoxide,1314-56-3
P4O6,phosphorushexoxide,12440-00-5
P4O10,phosphorusdecaoxide,16752-60-6
P4S3,phosphorustrisulfide,1314-51-8
P4S4,phosphorustetrasulfide,39350-99-7
P4S6,phosphorushexasulfide,131105-01-6
P4S7,phosphorusheptasulfide,15578-16-2
P4S9,phosphorusnonasulfide,25070-46-6
P4S10,phosphoruspentasulfide,1314-80-3
P4Se3,phosphorustriselenide,1314-86-9
PaBr4,protactinium(IV)bromide,13867-42-0
PaBr5,protactinium(V)bromide,15608-38-5
PaCl4,protactinium(IV)chloride,13867-41-9
PaCl5,protactinium(V)chloride,13760-41-3
PaF4,protactinium(IV)fluoride,13842-89-2
PaF5,protactinium(V)fluoride,15192-29-7
PaI3,protactinium(III)iodide,19415-71-5
PaI4,protactinium(IV)iodide,15513-96-9
PaI5,protactinium(V)iodide,17497-66-4
PaO,protactinium(II)oxide,60936-60-9
PaO2,protactinium(IV)oxide,12036-03-2
Pa2O5,protactinium(V)oxide,12036-75-8
Pb(AsO4)2,lead(II)arsenite,10031-13-7
Pb(BF4)2,lead(II)fluoroborate,13814-96-5
PbBr2,lead(II)bromide,10031-22-8
PbBr4,lead(IV)bromide,13701-91-2
Pb(CHO2)2,lead(II)formate,811-54-1
Pb(CN)2,lead(II)cyanide,592-05-2
PbCO3,lead(II)carbonate,598-63-0
Pb(C2H3O2)2,lead(II)acetate,301-04-2
Pb(C2H3O2)2,lead(III)acetate,546-67-8
PbC2O4,lead(II)oxalate,814-93-7
Pb(C3H5O2)2,lead(II)lactate,18917-82-3
Pb(C4H7O2)2,lead(II)butanoate,819-73-8
Pb(C18H33O2)2,lead(II)oleate,1120-46-3
Pb(C18H35O2)2,lead(II)stearate,1072-35-1
Pb(ClO3)2,lead(II)chlorate,10294-47-0
Pb(ClO4)2,lead(II)perchlorate,13453-62-8
PbCl2,lead(II)chloride,7758-95-4
PbCl4,lead(IV)chloride,13463-30-4
PbCrO4,lead(II)chromate,7758-97-6
PbF2,lead(II)fluoride,7783-46-2
PbF4,lead(IV)fluoride,7783-59-7
Pb(H2PO2)2,lead(II)hypophosphite,10294-58-3
PbH4,lead(IV)hydride,15875-18-0
Pb(IO3)2,lead(II)iodate,25659-31-8
PbI2,lead(II)iodide,10101-63-0
PbMoO4,lead(II)molybdate,10190-55-3
Pb(NO3)2,lead(II)nitrate,10099-74-8
Pb(NbO3)2,lead(II)niobate,12034-88-7
PbO,lead(II)oxide,1317-36-8
Pb(OH)2,lead(II)hydroxide,19783-14-3
PbO2,lead(IV)oxide,1309-60-0
PbS,lead(II)sulfide,1314-87-0
Pb(SCN)2,lead(II)thiocyanate,592-87-0
PbSO3,lead(II)sulfite,7446-10-8
PbSO4,lead(II)sulfate,7446-14-2
PbSe,lead(II)selenide,12069-00-0
PbSeO3,lead(II)selenite,7488-51-9
PbSeO4,lead(II)selenate,7446-15-3
PbSiO3,lead(II)metasilicate,10099-76-0
PbTa2O6,lead(II)tantalate,12065-68-8
PbTe,lead(II)telluride,1314-91-6
PbTiO4,lead(II)titanate,12060-00-3
Pb(VO3)2,lead(II)metavandate,10099-79-3
PbWO4,lead(II)tungstate,7759-01-5
PbZrO3,lead(II)zirconate,12060-01-4
Pb2O3,"lead(II,IV)oxide",1314-27-8
Pb2SiO4,lead(II)orthosilicate,13566-17-1
Pb3(AsO4)2,lead(II)arsenate,3687-31-8
Pb3(N3)2,lead(II)azide,13424-46-9
Pb3O4,"lead(II,II,IV)oxide",1314-41-6
Pb3(PO4)2,lead(II)phosphate,7446-27-7
Pb3(SbO4)2,lead(II)antimonate,13510-89-9
PdBr2,palladium(II)bromide,13444-94-5
Pd(CN)2,palladium(II)cyanide,2035-66-7
Pd(C2F3O2)2,palladium(II)trifluoroacetate,42196-31-6
Pd(C2H3O2)2,palladium(II)acetate,3375-31-3
PdCl2,palladium(II)chloride,7647-10-1
PdF2,palladium(II)fluoride,13444-96-7
PdF4,palladium(IV)fluoride,13709-55-2
PdI2,palladium(II)iodide,7790-38-7
Pd(NO3)2,palladium(II)nitrate,10102-05-3
PdO,palladium(II)oxide,1314-08-5
PdO2,palladium(IV)oxide,12036-04-3
PdS,palladium(II)sulfide,12125-22-3
PdSO4,palladium(II)sulfate,13566-03-5
PdS2,palladium(IV)sulfide,12137-75-6
PdSe,palladium(II)selenide,12137-76-7
PdSe2,palladium(IV)selenide,60672-19-7
PdTe,palladium(II)telluride,12037-94-4
PdTe2,palladium(IV)telluride,12037-95-5
PmBr3,promethium(III)bromide,14325-78-1
PmCl3,promethium(III)chloride,13779-10-7
Pm2O3,promethium(III)oxide,12036-32-7
PrBr3,praseodymium(III)bromide,13536-53-3
Pr(CHO2)3,praseodymium(III)formate,3252-52-6
PrCl3,praseodymium(III)chloride,10361-79-2
PrF2,praseodymium(II)fluoride,59513-11-0
PrF3,praseodymium(III)fluoride,13709-46-1
PrF4,praseodymium(IV)fluoride,15192-24-2
PrI2,praseodymium(II)iodide,65530-47-4
PrI3,praseodymium(III)iodide,13813-23-5
PrN,praseodymium(III)nitride,25764-09-4
PrO2,praseodymium(IV)oxide,12036-05-4
PrS,praseodymium(II)sulfide,12038-06-1
PrSe,praseodymium(II)selenide,12038-08-3
PrTe,praseodymium(II)telluride,12125-60-9
Pr2O3,praseodymium(III)oxide,12036-32-7
Pr2S3,praseodymium(III)sulfide,12038-13-0
Pr2Te3,praseodymium(III)telluride,12038-12-9
PtBr2,platinum(II)bromide,13455-12-4
PtBr3,platinum(III)bromide,25985-07-3
PtBr4,platinum(IV)bromide,68938-92-1
Pt(CN)2,platinum(II)cyanide,592-06-3
PtCl2,platinum(II)chloride,10025-65-7
PtCl3,platinum(III)chloride,25909-39-1
PtCl4,platinum(IV)chloride,13454-96-1
PtCl4-5H2O,platinum(IV)chloridepentaahydrate,15869-63-3
PtF4,platinum(IV)fluoride,13455-15-7
PtF5,platinum(V)fluoride,13782-84-8
PtF6,platinum(VI)fluoride,13693-05-5
PtI2,platinum(II)iodide,7790-39-8
PtI3,platinum(III)iodide,68220-29-1
PtI4,platinum(IV)iodide,7790-46-7
PtO,platinum(II)oxide,12035-82-4
PtO2,platinum(IV)oxide,1314-15-4
PtO2-H2O,platinum(IV)oxidemonohydrate,12137-21-2
PtS,platinum(II)sulfide,12038-20-9
PtS2,platinum(IV)sulfide,12038-21-0
PtSe2,platinum(IV)selenide,12038-26-5
PtTe,platinum(II)telluride,12166-00-6
PtTe2,platinum(IV)telluride,12038-29-8
Pt6Cl12,platinum(II)chloride,10025-65-7
PuBr3,plutonium(III)bromide,15752-46-2
PuCl3,plutonium(III)chloride,13569-62-5
PuF3,plutonium(III)fluoride,13842-83-6
PuF4,plutonium(IV)fluoride,13709-56-3
PuF6,plutonium(VI)fluoride,13693-06-6
PuH2,plutonium(II)hydride,17336-52-6
PuH3,plutonium(III)hydride,15457-77-9
PuI3,plutonium(III)iodide,13813-46-2
PuN,plutonium(III)nitride,12033-54-4
PuO,plutonium(II)oxide,12035-83-5
PuO2,plutonium(IV)oxide,12059-95-9
PuS,plutonium(II)sulfide,12038-51-6
PuS2,plutonium(IV)sulfide,12038-56-1
PuSe,plutonium(II)selenide,23299-88-9
Pu2O3,plutonium(III)oxide,12036-34-9
RaBr2,radiumbromide,10031-23-9
RaCO3,radiumcarbonate,7116-98-5
RaCl2,radiumchloride,10025-66-8
RaF2,radiumfluoride,20610-49-5
RaI2,radiumiodide,20610-52-0
RaNO3,radiumnitrate,10213-12-4
RaO,radiumoxide,12143-02-1
Ra(OH)2,radiumhydroxide,98966-86-0
RaSO4,radiumsulfate,7446-16-4
RbAlCl4,rubidiumtetrachloroaluminate,17992-02-8
RbAlF4,rubidiumtetrafluoroaluminate,14484-70-9
RbBr,rubidiumbromide,7789-39-1
RbC2H3O2,rubidiumacetate,563-67-7
RbC5H7O2,rubidiumacetylacetonate,66169-93-5
RbCl,rubidiumchloride,7791-11-9
RbF,rubidiumfluoride,13446-74-7
RbH,rubidiumhydride,13446-75-8
RbI,rubidiumiodide,7790-29-6
RbIO3,rubidiumiodate,13446-76-9
RbIO4,rubidiumperiodate,13465-48-0
RbNO3,rubidiumnitrate,13126-12-0
RbOH,rubidiumhydroxide,1310-82-3
RbO2,rubidiumsuperoxide,12137-25-6
Rb2O,rubidiumoxide,18088-11-4
Rb2O2,rubidiumperoxide,23611-30-5
Rb2S,rubidiumsulfide,31083-74-6
Rb2Se,rubidiumselenide,31052-43-4
Rb2Te,rubidiumtelluride,12210-70-7
ReBr3,rhenium(III)bromide,13569-49-8
ReBr4,rhenium(IV)bromide,36753-03-4
ReBr5,rhenium(V)bromide,30937-53-2
ReCl3,rhenium(III)chloride,13569-63-6
ReCl4,rhenium(IV)chloride,13569-71-6
ReCl5,rhenium(V)chloride,13596-35-5
ReCl6,rhenium(VI)chloride,31234-26-1
ReF4,rhenium(IV)fluoride,15192-42-4
ReF5,rhenium(V)fluoride,30937-52-1
ReF6,rhenium(VI)fluoride,10049-17-9
ReF7,rhenium(VII)fluoride,17029-21-9
ReI3,rhenium(III)iodide,15622-42-1
ReI4,rhenium(IV)iodide,59301-47-2
ReO2,rhenium(IV)oxide,12036-09-8
ReO3,rhenium(VI)oxide,1314-28-9
ReS2,rhenium(IV)sulfide,12038-63-0
ReTe2,rhenium(IV)telluride,12067-00-4
Re2O3,rhenium(III)oxide,12060-05-8
Re2O7,rhenium(VII)oxide,1314-68-7
Re2S7,rhenium(VII)sulfide,12038-67-4
RhBr3,rhodium(III)bromide,15608-29-4
RhCl3,rhodium(III)chloride,10049-07-7
RhF3,rhodium(III)fluoride,60804-25-3
RhF4,rhodium(IV)fluoride,60617-65-4
RhF5,rhodium(V)fluoride,41517-05-9
RhF6,rhodium(VI)fluoride,13693-07-7
RhI3,rhodium(III)iodide,15492-38-3
Rh(NO3)3,rhodium(III)nitrate,13465-43-5
RhO2,rhodium(IV)oxide,12137-27-8
RhS2,rhodium(IV)sulfide,12038-73-2
RhSe2,rhodium(IV)selenide,12038-76-5
RhTe2,rhodium(IV)telluride,12038-80-1
Rh2O3,rhodium(III)oxide,12036-35-0
Rh2(SO4)3,rhodium(III)sulfate,10489-46-0
Rh2S3,rhodium(III)sulfide,12067-06-0
Rh2S7,rhodium(VII)sulfide,12038-67-4
RuBr2,ruthenium(II)bromide,59201-36-4
RuBr3,ruthenium(III)bromide,14014-88-1
RuC15H21O3,ruthenium(III)acetylacetonate,22594-69-0
RuCl2,ruthenium(II)chloride,13465-51-5
RuCl3,ruthenium(III)chloride,10049-08-8
RuF3,ruthenium(III)fluoride,51621-05-7
RuF4,ruthenium(IV)fluoride,71500-16-8
RuF5,ruthenium(V)fluoride,14521-18-7
RuF6,ruthenium(VI)fluoride,13693-08-8
RuI2,ruthenium(II)iodide,59201-41-1
RuI3,ruthenium(III)iodide,13896-65-6
RuO2,ruthenium(IV)oxide,12036-10-1
RuO4,ruthenium(VI)oxide,20427-56-9
RuS2,ruthenium(IV)sulfide,12166-20-0
RuSe2,ruthenium(IV)selenide,12166-21-1
RuTe2,ruthenium(IV)telluride,12166-21-1
SCl2,sulfurdichloride,10545-99-0
SCl4,sulfurtetrachloride,13451-08-6
SF2,sulfurdifluoride,13814-25-0
SF4,sulfurtetrafluoride,7783-60-0
SF6,sulfurhexafluoride,2551-62-4
SO,sulfurmonoxide,13827-32-2
SO2,sulfurdioxide,7446-09-5
SO3,sulfurtrioxide,7446-11-9
S2Br2,disulfurdibromide,13172-31-1
S2Cl2,disulfurdichloride,10025-67-9
S2F4,disulfurtetrafluoride,10546-01-7
S2F10,disulfurdecafluoride,5714-22-7
S2I2,disulfurdiiodide,53280-15-2
S2O,disulfurmonoxide,20901-21-7
S4N4,tetrasulfurtetranitride,28950-34-7
SbBr3,antimonytribromide,7789-61-9
SbCl2F3,antimonydichlorotrifluoride,7791-16-4
SbCl3,antimonytrichloride,10025-91-9
SbCl5,antimonypentachloride,7647-18-9
SbF3,antimonytrifluoride,7783-56-4
SbF5,antimonypentafluoride,7783-70-2
SbH3,antimonytrihydride,7803-52-3
SbI3,antimonytriiodide,7790-44-5
SbN,antimonytrinitride,12333-57-2
SbNbO4,antimonyorthoniobate,35600-19-2
Sb2O3,antimonytrioxide,1309-64-4
Sb2O4,antimonytetroxide,1332-81-6
Sb2O5,antimonypentoxide,1314-60-9
Sb2(SO4)3,antimonytrisulfate,7446-32-4
Sb2S3,antimonytrisulfide,1345-04-6
Sb2S5,antimonypentasulfide,1315-04-4
Sb2Se3,antimonytriselenide,1315-05-5
Sb2Te3,antimonytritelluride,1327-50-0
ScBr3,scandium(III)bromide,13465-59-3
Sc(CF3SO3)3,scandium(III)trifluoromethanesulfonate,144026-79-9
Sc(CHO2)3,scandium(III)formate,23405-01-8
ScCl3,scandium(III)chloride,10361-84-9
ScF3,scandium(III)fluoride,13709-47-2
ScH2,scandium(II)hydride,13598-30-6
ScH3,scandium(III)hydride,43238-07-9
ScI3,scandium(III)iodide,14474-33-0
Sc(NO3)3,scandium(III)nitrate,13465-60-6
Sc2O3,scandium(III)oxide,12060-08-1
Sc2S3,scandium(III)sulfide,12166-29-9
Sc2Te3,scandium(III)telluride,12166-44-8
SeBr,seleniumbromide,17655-37-7
SeBr2,seleniumdibromide,22987-45-7
SeBr4,seleniumtetrabromide,7789-65-3
SeCl2,seleniumdichloride,14457-70-6
SeCl4,seleniumtetrachloride,10026-03-6
SeF2,seleniumdifluoride,70421-43-1
SeF4,seleniumtetrafluoride,13465-66-2
SeF6,seleniumhexafluoride,7783-79-1
SeOBr2,seleniumoxybromide,7789-51-7
SeOCl2,seleniumoxychloride,7791-23-3
SeO2,seleniumdioxide,7446-08-4
SeO2F2,seleniumdioxydifluoride,14984-81-7
SeO3,seleniumtrioxide,13768-86-0
SeS,seleniummonosulfide,7446-34-6
SeS2,seleniumdisulfide,7488-56-4
Se2S6,seleniumhexasulfide,75926-26-0
SiB4,siliconboride,12007-81-7
SiBr4,siliconbromide,7789-66-4
SiC,siliconcarbide,409-21-2
SiCl4,siliconchloride,10026-04-7
SiF4,siliconfluoride,7783-61-1
SiH4,siliconhydride,7803-62-5
SiI4,siliconiodide,13465-84-4
SiO2,silicondioxide,14808-60-7
SiS2,siliconsulfide,13759-10-9
Si3N4,siliconnitride,12033-89-5
SmBr2,samarium(II)bromide,50801-97-3
SmBr3,samarium(III)bromide,13759-87-0
Sm(CHO2)3,samarium(III)formate,3252-54-8
SmCl2,samarium(II)chloride,13874-75-4
SmCl3,samarium(III)chloride,10361-82-7
SmF2,samarium(II)fluoride,15192-17-3
SmF3,samarium(III)fluoride,13765-24-7
SmI2,samarium(II)iodide,32248-43-4
SmI3,samarium(III)iodide,13813-25-7
Sm2O3,samarium(III)oxide,12060-58-1
Sm2S3,samarium(III)sulfide,12067-22-0
Sm2Se3,samarium(III)selenide,12039-56-4
Sm2Te3,samarium(III)telluride,12040-00-5
Sn(BF4)2,tin(II)fluoroborate,13814-97-6
SnBr2,tin(II)bromide,10031-24-0
SnBr4,tin(IV)bromide,7789-67-5
SnC2O4,tin(II)oxalate,814-94-8
SnCl2,tin(II)chloride,7772-99-8
SnCl4,tin(IV)chloride,7646-78-8
SnF2,tin(II)fluoride,7783-47-3
SnF4,tin(IV)fluoride,7783-62-2
SnH4,tin(IV)hydride,2406-52-2
SnI2,tin(II)iodide,10294-70-9
SnI4,tin(IV)iodide,7790-47-8
SnO,tin(II)oxide,21651-19-4
SnO2,tin(IV)oxide,18282-10-5
SnS,tin(II)sulfide,1314-95-0
SnSO4,tin(II)sulfate,7488-55-3
SnS2,tin(IV)sulfide,1315-01-1
SnSe,tin(II)selenide,1315-06-6
SnSe2,tin(IV)selenide,20770-09-6
SnTe,tin(II)telluride,12040-02-7
SrAlO3,strontiumaluminate,12004-37-4
SrB2O4,strontiummetaborate,13703-84-9
SrB6,strontiumboride,12046-54-7
SrBr2,strontiumbromide,10476-81-0
SrBr2-6H2O,strontiumbromidehexahydrate,7789-53-9
Sr(C2H3O2)2,strontiumacetate,543-94-2
SrCO3,strontiumcarbonate,1633-05-2
SrCl2,strontiumchloride,10476-85-4
SrCrO4,strontiumchromate,7789-06-2
SrF2,strontiumfluoride,7783-48-4
SrH2,strontiumhydride,13598-33-9
SrI2,strontiumiodide,10476-86-5
SrMoO4,strontiummolybdate,13470-04-7
Sr(NO2)2,strontiumnitrite,13470-06-9
Sr(NO3)2,strontiumnitrate,10042-76-9
SrO,strontiumoxide,1314-11-0
Sr(OH)2,strontiumhydroxide,18480-07-4
SrO2,strontiumperoxide,1314-18-7
SrS,strontiumsulfide,1314-96-1
SrSCN,strontiumthiocyanate,18807-10-8
SrSO3,strontiumsulfite,13451-02-0
SrS2O6,strontiumdithionate,13845-16-4
SrSe,strontiumselenide,1315-07-7
SrSeO4,strontiumselenate,7446-21-1
SrSiO4,strontiumsilicate,12712-63-9
SrSnO3,strontiumstannate,12143-34-9
SrTiO3,strontiumtitanate,12060-59-2
SrWO4,strontiumtungstate,13451-05-3
SrZrO3,strontiumzirconate,12036-39-4
Sr3P2,strontiumphosphide,12504-16-4
TaAl3,tantalum(III)aluminide,12004-76-1
TaBr3,tantalum(III)bromide,13842-73-4
TaBr4,tantalum(IV)bromide,13842-76-7
TaBr5,tantalum(V)bromide,13451-11-1
TaC,tantalum(IV)carbide,12070-06-3
TaCl3,tantalum(III)chloride,13569-67-0
TaCl4,tantalum(IV)chloride,13569-72-7
TaCl5,tantalum(V)chloride,7721-01-9
TaF3,tantalum(III)fluoride,13814-17-0
TaF5,tantalum(V)fluoride,7783-71-3
TaI4,tantalum(IV)iodide,14693-80-2
TaI5,tantalum(V)iodide,14693-81-3
TaN,tantalum(III)nitride,12033-62-4
TaO,tantalum(II)oxide,12035-90-4
TaO2,tantalum(IV)oxide,12036-14-5
TaS,tantalum(II)sulfide,41203-00-3
TaS2,tantalum(IV)sulfide,12143-72-5
TaSe2,tantalum(IV)selenide,12039-55-3
TaSi2,tantalum(IV)silicide,12039-79-1
TaTe2,tantalum(IV)telluride,12067-66-2
Ta2H,tantalumhydride,12026-09-4
Ta2O5,tantalum(V)oxide,1314-61-0
TbBr3,terbium(III)bromide,14456-47-4
Tb(CHO2)3,terbium(III)formate,3252-57-1
TbCl3,terbium(III)chloride,10042-88-3
TbF2,terbium(II)fluoride,107949-15-5
TbF3,terbium(III)fluoride,13708-63-9
TbF4,terbium(IV)fluoride,36781-15-4
TbI3,terbium(III)iodide,13813-40-6
TbN,terbium(III)nitride,12033-64-6
TbO2,terbium(IV)oxide,12036-15-6
TbSi2,terbium(IV)silicide,12039-80-4
Tb2O3,terbium(III)oxide,12036-41-8
Tb2S3,terbium(III)sulfide,12138-11-3
Tb2Se3,terbium(III)selenide,12166-48-2
TcBr4,technetium(IV)bromide,74078-05-0
TcCl4,technetium(IV)chloride,14215-13-5
TcCl6,technetium(VI)chloride,31227-43-7
TcF5,technetium(V)fluoride,31052-14-9
TcF6,technetium(VI)fluoride,13842-93-8
TcO2,technetium(IV)oxide,12036-16-7
TcS2,technetium(IV)sulfide,34312-50-0
Tc2O7,technetium(VII)oxide,12165-21-8
TeBr2,telluriumdibromide,7789-54-0
TeBr4,telluriumtetrabromide,10031-27-3
TeCl2,telluriumdichloride,10025-71-5
TeCl4,telluriumtetrachloride,10026-07-0
TeF4,telluriumtetrafluoride,15192-26-4
TeF6,telluriumhexafluoride,7783-80-4
TeI,telluriummonoiodide,12600-42-9
TeI4,telluriumtetraiodide,7790-48-9
TeO,telluriummonoxide,13451-17-7
TeO2,telluriumdioxide,7446-07-3
TeO3,telluriumtrioxide,13451-18-8
TeS2,telluriumdisulfide,7446-35-7
ThBr4,thorium(IV)bromide,13453-49-1
ThC,thorium(IV)carbide,12012-16-7
Th(CO3)2,thorium(II)carbonate,19024-62-5
ThCl4,thorium(IV)chloride,10026-08-1
ThF3,thorium(III)fluoride,13842-84-7
ThF4,thorium(IV)fluoride,13709-59-6
ThH2,thorium(II)hydride,16689-88-6
ThI2,thorium(II)iodide,13779-95-8
ThI3,thorium(III)iodide,13779-96-9
ThI4,thorium(IV)iodide,7790-49-0
ThN,thorium(III)nitride,12033-65-7
Th(NO3)4,thorium(IV)nitrate,13823-29-5
ThO2,thorium(IV)oxide,1314-20-1
ThS,thorium(II)sulfide,12039-06-4
ThS2,thorium(IV)sulfide,12138-07-7
ThSe2,thorium(IV)selenide,60763-24-8
ThSiO4,thorium(IV)orthosilicate,14553-44-7
ThSi2,thorium(IV)silicide,12067-54-8
Th2S3,thorium(III)sulfide,12286-35-0
TiBr2,titanium(II)bromide,13783-04-5
TiBr3,titanium(III)bromide,13135-31-4
TiBr4,titanium(IV)bromide,7789-68-6
TiC,titanium(IV)carbide,12070-08-5
TiC8H20O4,titanium(IV)ethoxide,3087-36-3
TiCl2,titanium(II)chloride,10049-06-6
TiCl3,titanium(III)chloride,7705-07-9
TiCl4,titanium(IV)chloride,7550-45-0
TiF2,titanium(II)fluoride,13814-20-5
TiF3,titanium(III)fluoride,13470-08-1
TiF4,titanium(IV)fluoride,7783-63-3
TiH2,titanium(II)hydride,7704-98-5
TiI2,titanium(II)iodide,13783-07-8
TiI3,titanium(III)iodide,13783-08-9
TiI4,titanium(IV)iodide,7720-83-4
TiN,titanium(III)nitride,25583-20-4
TiO,titanium(II)oxide,12137-20-1
TiO2,titanium(IV)oxide,13463-67-7
TiP,titanium(III)phosphide,12037-65-9
Ti3(PO4)4,titanium(IV)phosphate,15578-51-5
TiS,titanium(II)sulfide,12039-07-5
Ti(SO4)2,titanium(IV)sulfate,18130-44-4
TiS2,titanium(IV)sulfide,12039-13-3
TiSi2,titanium(IV)silicide,12039-83-7
Ti2O3,titanium(III)oxide,1344-54-3
Ti2(SO4)3,titanium(III)sulfate,10343-61-0
Ti2S3,titanium(III)sulfide,12039-16-6
Ti3O5,"titanium(III,IV)oxide",12065-65-5
TlBr,thallium(I)bromide,7789-40-4
TlCHO2,thallium(I)formate,992-98-3
TlCN,thallium(I)cyanide,13453-34-4
TlC2H3O2,thallium(I)acetate,563-68-8
TlC2H5O,thallium(I)ethoxide,20398-06-5
TlCl,thallium(I)chloride,7791-12-0
TlClO3,thallium(I)chlorate,13453-30-0
TlClO4,thallium(I)perchlorate,13453-40-2
TlCl2,thallium(II)chloride,15230-71-4
TlCl3,thallium(III)chloride,13453-32-2
TlF,thallium(I)fluoride,7789-27-7
TlF3,thallium(III)fluoride,7783-57-5
TlI,thallium(I)iodide,7790-30-9
TlIO3,thallium(III)iodate,14767-09-0
TlI3,thallium(I)triiodide,60488-29-1
TlNO3,thallium(I)nitrate,10102-45-1
Tl(NO3)3,thallium(III)nitrate,13746-98-0
TlOH,thallium(I)hydroxide,12026-06-1
TlPF6,thallium(I)hexafluorophosphate,60969-19-9
Tl2Br4,"thallium(I,III)bromide",13453-28-6
Tl2CO3,thallium(I)carbonate,6533-73-9
Tl2C2O4,thallium(I)oxalate,30737-24-7
Tl2MoO4,thallium(I)molybdate,34128-09-1
Tl2O,thallium(I)oxide,1314-12-1
Tl2O3,thallium(III)oxide,1314-32-5
Tl2S,thallium(I)sulfide,1314-97-2
Tl2SO4,thallium(I)sulfate,7446-18-6
Tl2Se,thallium(I)selenide,15572-25-5
Tl2SeO4,thallium(I)selenate,7446-22-2
Tl2Te,thallium(I)telluride,12040-13-0
TmBr2,thulium(II)bromide,64171-97-7
TmBr3,thulium(III)bromide,14456-51-0
TmCl2,thulium(II)chloride,22852-11-5
TmCl2-7H2O,thulium(II)chlorideheptahydrate,13778-39-7
